,ORDER_NO,PRODUCT_CODE,ORDER_TYPE,TRANSFER_TYPE,MAIN_SOURCE,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_DATE,PENDING_TRANSACTION_TYPE,average_days,NEXT_TRXN_DATE_FORECAST
881,2024-9-636   ,04L903315K,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,4.0,2024-03-15
882,2024-3-601   ,0CK927523,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-15,Faturalandırıldı,7.0,2024-02-01
883,2024-6-641   ,0CK927523,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-08,Faturalandırıldı,7.0,2024-02-25
884,2024-5-644   ,0CK927523,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-02,Faturalandırıldı,7.0,2024-02-19
885,2024-8-654   ,0CK927523,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-23,Faturalandırıldı,7.0,2024-03-11
886,2024-3-640   ,0CK927523,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-19,Faturalandırıldı,7.0,2024-02-05
887,2024-7-675   ,0CK927523,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-16,Faturalandırıldı,7.0,2024-03-04
888,2024-9-532   ,2K7919493A,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,6.2,2024-03-16
889,2024-9-537   ,2Q0698151T,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Gönderildi,0.0,2024-03-06
890,2024-9-537   ,2Q0698151T,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,2.4,2024-03-12
891,2024-10-741  ,4B0857405B 13U,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,1.0,2024-03-08
892,2024-7-568   ,8R0955711C,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-15,Faturalandırıldı,6.333333333333333,2024-03-01
893,2024-9-532   ,8R0955711C,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,6.333333333333333,2024-03-16
894,2024-5-623   ,8U0825207,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-31,Faturalandırıldı,1.0,2024-02-02
895,2024-11-505  ,N  10724701,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-11,Faturalandırıldı,2.0,2024-03-16
896,2024-9-536   ,03G906051D,Stok,Kamyon,VOLKSWAGEN A.G.,536094100.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.5,2024-03-19
897,2024-8-629   ,2E0880202H,Acil,Kamyon,VOLKSWAGEN A.G.,534740771.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-29,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-03
898,2024-7-674   ,2E0880202H,Acil,Kamyon,VOLKSWAGEN A.G.,534739751.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-29,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-03
899,2024-1-605   ,4K0853651B RN4,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-02,Faturalandırıldı,5.0,2024-01-14
900,2024-2-661   ,4K0853651B RN4,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-12,Faturalandırıldı,5.0,2024-01-24
901,2024-10-543  ,5H1857706  RAA,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.75,2024-03-19
902,2024-11-638  ,5Q0698451AA,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.0,2024-03-16
903,2024-11-524  ,5WA423810C,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
904,2024-9-519   ,8V0821105L,Stok,Kamyon,VOLKSWAGEN A.G.,536094273.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.125,2024-03-18
905,2024-8-574   ,N  90344502,Stok,Kamyon,VOLKSWAGEN A.G.,536250139.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-03-18
906,2024-10-510  ,N  91140701,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,6.25,2024-03-19
907,2024-6-13    ,2653999,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-05,Faturalandırıldı,10.0,2024-03-01
908,2024-9-645   ,03F145276,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,4.0,2024-03-15
909,2024-10-629  ,04L109107E,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,4.5,2024-03-18
910,2024-4-771   ,2HJ945208E,Çok Acil,Express Kamyon TSEli 1,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,4.666666666666667,2024-02-17
911,2024-3-538   ,2K8867005AEUXW,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-19,Faturalandırıldı,6.0,2024-02-03
912,2024-9-542   ,3C0807109D,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,5.0,2024-03-18
913,2024-9-545   ,7C0853630B DPJ,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,5.0,2024-03-13
914,2024-8-563   ,7J0829367,Stok,Kamyon,VOLKSWAGEN A.G.,536265575.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-03-18
915,2024-11-651  ,8U0951209,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
916,2024-9-526   ,8W0906261E,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-29,Faturalandırıldı,7.0,2024-03-17
917,2024-7-21    ,2720457,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-13,Faturalandırıldı,7.0,2024-03-01
918,2024-6-21    ,2720457,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-05,Faturalandırıldı,7.0,2024-02-22
919,2024-11-9    ,5FF601025E XEB,Çok Acil,Express Uçak,SEAT,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,2.75,2024-03-18
920,2024-9-636   ,05C141015,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,4.0,2024-03-15
921,2024-2-778   ,05L907807BE,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-01-12,Fatura Antrepo girişi,1.0,2024-01-14
922,2024-2-778   ,0A5409413D,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-01-12,Fatura Antrepo girişi,1.0,2024-01-14
923,2024-10-545  ,2HJ807649M,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,1.0,2024-03-10
924,2024-9-542   ,2HJ807649M,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,1.0,2024-03-03
925,2024-11-654  ,2K5827505G,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
926,2024-10-608  ,5WA698151T,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,4.0,2024-03-14
